theta(град)   d_times   d_db
73.836918   1.497546   1.753803
73.926963   1.499813   1.760370
74.017009   1.502070   1.766900
74.107054   1.504317   1.773394
74.197099   1.506556   1.779851
74.287144   1.508785   1.786272
74.377189   1.511004   1.792656
74.467234   1.513214   1.799004
74.557279   1.515415   1.805315
74.647324   1.517606   1.811589
74.737369   1.519787   1.817827
74.827414   1.521959   1.824029
74.917459   1.524121   1.830193
75.007504   1.526273   1.836322
75.097549   1.528415   1.842413
75.187594   1.530548   1.848468
75.277639   1.532670   1.854487
75.367684   1.534783   1.860469
75.457729   1.536885   1.866414
75.547774   1.538977   1.872323
75.637819   1.541060   1.878195
75.727864   1.543132   1.884030
75.817909   1.545194   1.889829
75.907954   1.547245   1.895592
75.997999   1.549287   1.901318
76.088044   1.551318   1.907007
76.178089   1.553338   1.912660
76.268134   1.555348   1.918276
76.358179   1.557347   1.923855
76.448224   1.559336   1.929398
76.538269   1.561315   1.934904
76.628314   1.563282   1.940374
76.718359   1.565239   1.945807
76.808404   1.567185   1.951204
76.898449   1.569121   1.956564
76.988494   1.571045   1.961887
77.078539   1.572959   1.967174
77.168584   1.574862   1.972424
77.258629   1.576753   1.977637
77.348674   1.578634   1.982814
77.438719   1.580503   1.987954
77.528764   1.582362   1.993058
77.618809   1.584209   1.998125
77.708854   1.586045   2.003155
77.798899   1.587870   2.008149
77.888944   1.589683   2.013106
77.978990   1.591486   2.018027
78.069035   1.593276   2.022911
78.159080   1.595056   2.027758
78.249125   1.596823   2.032569
78.339170   1.598580   2.037343
78.429215   1.600324   2.042080
78.519260   1.602058   2.046781
78.609305   1.603779   2.051445
78.699350   1.605489   2.056073
78.789395   1.607187   2.060664
78.879440   1.608873   2.065218
78.969485   1.610548   2.069736
79.059530   1.612210   2.074217
79.149575   1.613861   2.078661
79.239620   1.615500   2.083069
79.329665   1.617126   2.087440
79.419710   1.618741   2.091774
79.509755   1.620344   2.096072
